room_type,number_of_reviews,calculated_host_listings_count,availability_365,price
0,21,1,64,145
1,4,1,0,145
0,0,1,365,300
1,0,2,213,125
1,3,1,12,275
1,2,1,0,200
1,7,1,38,110
0,3,1,64,54
1,23,2,144,60
0,23,1,0,60
1,12,3,6,187
1,0,1,0,250
1,11,1,0,250
1,30,1,364,200
0,0,1,0,55
1,5,3,272,212
1,1,1,0,145
0,46,1,267,94
1,1,3,129,150
0,2,1,178,250
0,1,2,27,100
1,4,2,0,74
1,3,2,0,85
1,54,1,98,99
0,4,1,321,70
1,1,1,365,300
1,4,1,0,69
0,10,1,0,100
1,2,1,352,300
1,20,1,0,148
1,2,1,36,100
0,4,3,63,100
0,42,1,5,89
1,19,1,0,150
1,0,1,0,230
0,43,1,0,38
1,45,1,0,175
1,0,1,0,175
0,3,1,0,60
1,8,1,0,128
1,11,1,0,200
1,57,1,314,160
0,5,3,0,30
1,21,2,53,130
0,20,3,175,55
0,42,1,3,59
1,1,1,186,89
2,31,3,196,69
0,30,1,115,45
0,0,1,89,75
1,1,1,0,84
0,0,1,35,299
0,9,1,0,45
1,3,1,0,120
1,10,2,96,130
1,0,1,0,130
0,0,1,0,150
1,2,1,0,160
0,0,1,0,75
1,2,1,0,105
0,3,1,189,50
1,0,1,0,132
0,3,2,0,95
1,43,1,0,180
0,2,1,0,31
0,3,2,0,165
0,54,1,0,60
1,0,1,156,245
1,61,1,365,150
0,0,2,0,85
0,3,1,43,125
1,1,1,43,73
0,4,1,76,85
0,1,1,1,97
1,9,1,0,249
0,2,1,0,65
1,1,1,334,220
0,1,1,15,220
0,57,2,127,79
0,13,1,174,47
2,7,3,362,59
1,59,1,356,215
1,13,1,0,149
1,37,1,229,225
1,15,1,0,185
1,17,1,0,96
1,11,1,1,160
1,0,1,0,125
1,2,1,177,160
0,1,1,0,55
0,0,1,0,40
0,4,3,86,120
1,40,1,273,70
0,34,1,175,65
1,3,1,34,235
0,0,3,0,79
0,0,1,188,40
0,33,3,301,75
0,3,1,0,44
0,4,2,76,45
1,0,1,0,160
1,22,1,0,80
1,3,1,316,140
0,2,1,87,97
0,0,2,0,55
1,10,1,0,199
0,2,2,0,35
0,21,1,128,125
0,9,2,311,69
0,3,1,0,175
1,0,1,0,100
1,2,1,0,88
0,4,2,0,45
0,0,1,0,80
1,5,1,0,180
1,10,1,12,131
1,10,1,62,189
0,2,1,0,100
1,29,1,36,200
0,0,1,0,130
1,26,1,69,200
0,38,2,103,130
0,32,2,177,85
1,26,1,229,279
0,6,3,179,69
0,0,1,0,52
1,49,2,0,99
1,23,1,0,200
1,3,1,0,100
1,2,1,4,180
0,10,1,162,75
1,4,1,5,150
1,2,2,0,275
2,0,1,365,99
1,8,2,11,150
0,4,1,0,65
1,64,2,184,120
0,7,1,0,56
0,13,1,0,55
1,25,1,143,60
0,1,1,0,34
0,0,1,5,78
1,3,1,0,108
0,2,3,78,180
0,8,2,1,37
1,8,1,0,161
0,2,1,0,127
0,6,3,0,89
0,0,3,365,101
0,2,1,125,65
1,3,1,156,210
0,22,1,3,260
1,2,1,0,275
0,0,1,54,39
1,9,1,53,75
1,1,1,0,150
0,68,1,330,70
1,2,1,0,110
0,28,1,358,90
0,2,3,353,135
1,4,1,0,199
0,27,2,292,55
1,5,1,13,175
1,0,1,55,69
0,0,1,62,70
1,29,1,173,170
1,14,1,16,88
1,13,1,171,190
1,0,1,0,50
1,2,1,6,149
0,5,1,0,75
0,3,1,0,65
0,4,1,0,45
1,17,1,64,129
1,68,1,83,189
0,2,1,0,69
1,1,1,5,150
0,0,1,0,50
0,29,1,16,70
0,2,1,161,77
1,5,1,0,195
1,0,1,0,125
0,6,1,0,80
1,9,1,0,325
0,41,1,81,65
1,4,1,0,275
0,1,1,0,50
1,0,1,0,110
1,1,3,17,145
1,7,1,0,300
0,27,1,94,115
1,2,3,59,155
1,3,1,0,280
1,1,1,0,95
1,39,3,237,96
0,6,1,96,60
0,0,1,0,84
0,36,3,294,150
0,0,1,0,89
1,1,2,73,140
1,3,1,16,250
1,3,1,0,110
0,1,2,0,45
0,0,1,16,70
0,0,1,0,50
0,15,2,90,30
1,11,1,2,165
0,37,2,334,85
1,2,1,0,150
0,18,2,238,90
0,2,1,0,55
1,24,1,0,68
0,44,3,0,60
0,68,3,168,70
0,22,1,365,250
1,23,1,187,215
0,57,1,74,90
1,4,3,341,236
0,2,3,0,97
0,1,1,0,84
0,5,2,281,42
1,2,1,0,125
1,25,1,0,160
0,1,2,0,189
2,19,2,88,52
0,0,1,0,50
1,14,3,0,299
0,1,2,0,105
1,11,1,0,160
1,1,1,25,95
0,1,1,365,35
0,7,1,3,110
1,59,1,217,122
2,21,1,363,165
1,8,2,80,167
0,7,1,0,180
0,7,1,85,80
0,2,1,278,34
1,59,1,13,70
0,2,3,0,74
1,1,1,0,150
1,61,1,2,75
1,1,1,0,150
1,12,1,5,150
1,0,1,0,120
0,34,1,259,55
1,19,3,0,250
0,3,1,0,70
0,46,3,0,60
0,4,1,0,210
1,3,3,9,220
1,6,1,0,75
1,22,1,29,150
0,36,1,0,100
0,65,1,12,80
1,9,1,2,190
0,25,2,125,69
1,4,1,0,140
1,34,1,147,130
0,60,1,125,150
0,0,1,0,97
2,0,2,34,75
0,2,1,0,90
0,14,2,0,99
1,36,2,124,200
1,3,1,0,200
0,53,2,197,120
0,0,1,250,75
0,10,1,175,72
1,0,1,0,175
0,0,1,0,69
1,0,1,0,150
0,0,1,66,175
1,0,1,180,330
1,52,1,35,185
0,7,3,360,55
1,17,1,179,92
0,3,1,0,55
1,15,1,365,315
1,22,1,329,199
0,1,1,156,80
1,25,1,294,100
0,1,2,365,50
1,0,1,0,250
0,7,1,0,35
1,9,1,0,95
0,1,1,0,100
0,0,1,0,55
0,23,1,0,60
0,6,2,0,90
0,0,1,38,41
0,1,1,0,65
1,4,1,0,200
1,10,1,167,200
1,0,1,0,250
0,1,1,0,59
0,17,1,106,47
1,1,2,0,115
0,0,1,0,68
1,7,1,0,250
1,9,1,0,170
0,14,1,64,120
0,29,1,2,75
1,6,1,0,200
1,14,1,328,125
1,5,2,0,150
0,0,1,0,55
0,5,1,89,55
1,12,1,0,150
0,0,1,0,65
1,2,2,0,125
1,2,1,0,180
1,70,1,339,109
0,0,3,0,59
1,1,2,56,275
0,1,1,50,185
0,0,1,0,78
0,1,1,0,100
1,1,1,341,159
1,21,1,70,229
1,44,1,310,100
1,1,2,32,209
2,0,1,0,85
0,0,1,0,88
0,0,1,0,45
0,3,3,21,70
0,8,1,334,45
1,3,1,0,250
0,5,1,0,39
0,0,1,267,150
0,0,1,342,80
0,9,1,0,95
0,0,1,88,120
1,0,1,349,160
0,2,1,89,105
1,15,1,0,200
0,14,2,1,35
1,49,1,0,119
2,15,1,123,75
1,4,1,152,245
0,1,1,36,195
1,1,1,0,250
0,2,2,0,95
1,8,1,43,105
0,1,1,0,50
0,0,1,0,120
1,3,1,0,89
0,36,2,188,45
0,2,1,0,30
1,0,2,349,148
0,2,1,0,36
0,1,2,358,70
0,8,1,365,143
1,48,1,53,120
1,1,1,8,95
1,44,1,87,300
1,2,1,190,80
0,15,1,361,40
0,1,1,0,38
0,8,2,19,65
1,41,1,299,275
1,45,2,355,225
1,2,1,0,60
0,15,2,0,50
0,10,3,361,100
1,22,1,28,313
0,3,2,342,65
1,12,3,215,85
1,44,2,279,160
1,2,1,2,175
0,29,2,0,45
1,0,1,0,125
1,21,1,3,160
1,1,1,14,90
1,0,1,0,115
1,0,2,0,199
1,14,1,16,250
0,36,1,7,125
0,30,3,362,200
0,0,1,0,150
1,0,1,0,135
0,2,1,0,80
1,7,1,0,115
1,12,1,173,150
0,22,1,42,50
1,22,1,8,300
1,16,2,0,159
0,0,1,0,60
1,6,1,30,90
1,2,1,2,135
1,11,1,113,199
1,1,1,0,250
1,17,1,0,85
0,1,1,0,65
1,3,1,0,105
1,3,1,0,199
0,11,1,29,59
1,1,1,0,45
2,0,1,0,46
0,0,1,0,50
0,1,2,0,115
0,0,1,362,150
1,2,1,0,85
0,2,1,236,47
0,1,1,119,65
1,5,2,1,89
0,0,1,10,45
1,4,1,44,305
1,50,2,287,90
0,0,2,214,50
0,29,1,0,50
0,0,1,0,46
1,3,1,10,179
1,9,1,0,95
1,12,1,54,175
0,1,1,0,50
1,0,1,321,80
1,1,2,99,85
0,1,1,0,90
1,6,1,0,50
0,21,2,165,72
0,0,1,0,80
1,13,1,127,99
0,5,1,0,80
0,0,2,365,300
0,1,1,342,70
0,1,1,0,48
2,4,2,355,27
0,2,1,0,45
0,36,1,51,108
0,55,1,66,90
0,17,2,73,38
0,1,1,365,120
0,52,1,5,65
0,2,1,214,48
0,0,1,40,60
0,7,1,45,110
0,20,1,14,39
1,2,1,0,190
1,0,1,0,30
1,17,2,270,170
1,17,2,212,239
1,3,1,0,195
1,3,1,84,145
1,52,1,264,175
0,0,1,0,50
0,9,1,147,60
1,42,1,46,260
1,1,1,3,135
0,2,1,0,46
0,70,2,291,65
1,2,1,0,85
0,33,1,47,48
1,23,1,166,125
0,12,2,30,65
1,0,1,0,148
0,16,1,283,99
1,37,1,339,274
1,0,1,234,220
0,2,1,0,95
0,9,1,144,90
0,6,1,356,130
0,20,1,184,55
0,1,1,0,99
0,7,1,0,39
1,11,1,0,100
1,1,3,224,300
0,1,1,0,65
1,2,1,338,250
0,0,1,0,36
1,6,1,0,135
1,0,1,0,85
1,6,1,0,65
1,23,3,6,105
1,41,1,8,122
0,3,2,5,89
0,3,1,56,65
0,2,1,0,100
0,19,1,90,230
1,31,1,78,195
1,17,1,28,120
0,14,1,168,45
1,7,1,0,90
1,4,1,41,138
1,0,2,69,275
1,0,1,0,300
0,2,1,0,46
1,9,1,0,140
0,1,1,0,60
0,1,1,0,70
1,41,2,0,192
0,11,2,64,50
0,1,1,0,60
1,21,1,209,210
0,4,2,0,75
0,51,1,62,65
1,9,1,0,250
1,28,1,0,90
1,1,1,0,100
2,4,2,3,40
0,0,1,9,60
1,34,1,90,126
1,1,1,0,175
1,2,1,0,250
0,12,2,281,40
0,1,1,227,44
1,3,1,0,145
0,9,1,80,85
1,6,1,0,97
0,4,1,0,40
1,7,1,5,235
1,3,2,120,95
0,43,2,59,40
0,2,1,0,65
0,18,1,0,100
1,2,2,0,149
0,30,1,24,99
1,8,1,0,50
1,4,1,0,150
1,1,1,0,180
1,0,1,0,330
1,2,3,88,210
1,0,1,0,100
0,1,2,0,99
0,0,1,179,55
1,44,1,0,135
1,3,1,0,99
1,2,1,0,55
0,1,1,0,77
0,3,1,0,80
0,48,2,318,64
1,1,1,173,250
1,0,1,0,175
0,40,3,345,110
1,5,1,0,50
0,0,1,0,75
0,1,1,14,50
0,1,1,0,300
0,0,2,0,100
1,13,2,0,94
1,0,1,0,71
0,0,1,365,200
0,3,1,341,60
1,10,1,188,239
0,4,2,364,75
1,5,1,188,250
1,0,1,194,325
0,1,1,0,50
1,2,1,0,220
1,1,1,124,199
0,2,1,0,50
0,26,1,0,60
1,2,1,9,143
1,0,1,0,200
0,47,2,0,69
1,0,2,179,249
1,0,3,0,113
1,8,1,3,120
1,3,1,23,150
1,52,1,321,130
1,11,1,0,150
0,1,1,5,55
0,0,1,365,80
0,10,1,0,75
1,4,1,0,200
0,19,1,274,149
1,2,1,0,70
1,18,1,46,110
0,1,3,81,46
1,3,1,0,199
1,0,1,0,80
1,3,1,0,220
1,3,1,0,150
0,0,2,365,100
0,64,2,5,140
0,44,1,96,120
1,3,1,0,154
2,0,2,341,28
0,6,1,0,45
0,1,1,0,30
1,22,1,0,175
0,19,1,0,73
1,0,1,0,275
1,6,1,48,171
1,1,1,0,130
1,8,1,181,300
1,0,1,0,125
1,13,1,0,100
0,19,1,67,45
1,6,1,0,110
1,6,1,0,139
0,37,3,196,65
0,0,1,0,90
0,0,1,365,100
0,1,1,0,125
0,1,1,0,130
0,58,2,152,37
1,2,2,0,150
1,44,1,190,95
1,0,1,38,145
1,4,1,0,99
0,17,1,0,49
0,20,1,178,150
1,64,1,311,79
2,3,1,0,169
1,7,1,0,200
0,12,3,236,28
0,0,2,180,75
0,4,1,36,66
0,0,1,0,100
1,0,1,0,250
1,6,1,16,220
1,6,1,0,128
1,0,1,0,140
0,9,1,0,120
0,15,2,0,44
1,22,1,2,200
1,5,1,0,100
1,28,2,62,150
1,13,2,0,225
0,14,1,121,125
0,1,1,0,85
0,0,1,0,37
1,1,1,0,140
0,2,1,0,90
0,3,1,0,90
1,2,1,0,180
0,15,1,0,50
1,2,1,37,200
0,2,1,0,72
0,1,3,246,75
1,54,1,97,195
0,0,1,0,60
0,23,1,0,90
1,12,1,0,200
1,38,1,122,175
1,6,1,10,160
1,6,1,15,99
1,10,1,49,165
1,0,1,0,80
0,0,1,0,60
1,3,1,34,150
1,1,1,0,68
0,6,1,74,50
0,20,1,0,85
1,2,1,0,175
1,1,1,0,230
0,0,2,364,100
1,24,1,232,197
1,4,1,157,100
1,3,1,4,95
0,16,1,0,40
1,3,1,0,325
0,6,1,158,48
0,0,1,0,50
0,0,1,0,57
1,42,1,219,104
0,0,1,87,75
0,3,1,0,120
0,0,1,0,95
0,0,1,0,35
1,3,1,0,249
1,10,2,271,289
0,0,3,65,65
0,3,1,0,35
0,0,1,0,100
1,1,1,0,215
1,5,1,41,182
0,32,1,167,110
1,0,1,55,169
0,1,1,0,60
0,4,1,180,79
0,4,3,345,62
2,1,2,90,35
0,2,2,0,95
0,0,1,0,40
0,7,2,0,45
0,8,1,365,75
0,35,2,129,99
0,1,3,88,200
1,4,1,64,100
0,16,1,0,69
1,6,1,0,115
1,10,1,82,300
1,1,1,0,200
0,0,1,0,45
1,9,1,301,130
1,2,2,0,190
1,0,1,98,160
0,6,2,0,100
1,49,1,47,50
0,24,2,0,90
1,45,1,44,120
1,12,1,2,155
1,1,1,78,320
1,0,2,71,125
1,8,1,0,110
1,2,1,0,70
1,17,1,0,200
0,1,2,0,48
1,5,1,0,100
0,0,1,175,89
0,48,1,0,68
0,14,3,13,68
0,8,2,40,65
1,1,2,0,120
1,0,1,0,180
1,0,2,360,250
0,19,3,354,99
1,1,1,68,209
1,2,1,0,190
0,19,1,0,75
0,34,1,3,90
0,0,1,0,200
0,3,1,69,70
0,9,2,7,75
0,19,1,0,115
1,40,3,170,150
0,19,2,303,75
0,0,1,0,60
0,0,1,363,85
0,21,1,57,60
0,9,2,119,75
1,10,1,0,224
0,15,1,322,99
1,3,1,0,100
0,1,2,0,59
1,5,1,0,111
0,2,1,0,59
1,46,1,69,71
1,1,1,0,150
1,9,1,1,150
1,1,1,0,65
0,1,1,0,70
0,36,1,292,110
0,1,1,0,100
1,45,1,0,111
1,3,1,0,120
0,1,3,0,75
0,42,3,348,70
1,28,1,289,99
0,1,1,0,70
1,11,1,0,99
0,0,1,365,86
0,8,2,3,85
1,3,1,6,150
1,3,1,39,150
0,2,1,11,80
0,7,1,0,55
0,16,1,354,170
0,16,2,1,50
0,0,1,0,100
0,0,1,89,54
0,5,1,158,88
0,0,2,0,53
0,14,2,10,68
0,7,2,0,37
1,3,1,0,140
2,11,2,0,45
0,6,1,0,35
1,1,1,0,155
0,4,3,276,45
0,1,1,95,65
0,16,1,116,60
1,7,1,0,125
0,25,1,283,42
0,1,1,0,70
0,45,1,290,65
0,5,1,0,60
1,14,1,51,70
1,7,1,6,105
1,9,1,0,125
0,5,3,1,56
1,2,1,0,240
1,4,1,0,85
1,0,1,12,80
0,15,1,0,100
1,6,3,115,300
0,32,1,0,100
1,14,1,0,125
0,0,1,5,80
1,8,1,0,121
1,32,1,24,175
1,55,1,74,99
1,10,1,0,200
1,0,1,27,200
0,61,3,31,63
1,34,3,243,171
1,3,1,0,200
1,5,1,0,94
0,20,1,357,75
0,25,1,69,84
0,8,1,0,75
0,59,1,99,49
1,12,1,0,178
0,8,1,10,40
0,37,1,329,75
1,4,1,0,130
0,28,1,364,86
1,31,1,64,125
0,55,1,0,89
0,49,2,203,59
0,2,2,0,60
0,20,1,1,250
0,3,1,71,70
1,1,1,0,130
1,0,1,0,275
0,1,1,0,50
0,3,1,0,108
0,35,1,180,95
0,4,1,0,50
1,18,3,355,150
0,8,1,281,68
0,0,1,0,70
0,2,1,0,75
0,2,1,0,40
1,7,1,14,185
0,7,2,11,70
1,4,1,0,265
1,2,1,194,60
2,0,1,85,50
0,18,1,242,75
1,0,1,0,300
1,0,1,0,250
1,12,1,0,70
1,44,1,0,170
1,8,1,27,151
0,3,1,0,70
1,52,2,242,199
0,7,1,2,65
0,20,1,0,75
1,1,1,0,100
1,0,1,7,156
0,0,1,36,80
0,6,1,249,55
0,1,1,35,45
1,3,1,0,300
0,7,1,0,44
0,1,1,156,90
0,0,1,89,110
1,0,1,0,290
1,55,1,86,120
1,15,1,12,89
0,1,2,155,50
1,27,1,193,160
1,3,1,0,125
0,2,1,0,55
1,2,1,0,75
2,8,1,180,200
1,51,1,180,150
1,0,2,365,250
0,31,2,84,85
0,61,2,65,49
0,5,2,0,85
1,7,1,0,120
1,57,1,0,140
0,41,1,0,120
1,23,1,20,65
0,1,2,0,45
1,18,1,16,199
0,7,1,174,25
1,9,1,0,195
1,1,1,0,200
1,12,1,39,325
1,3,1,0,289
0,0,1,43,75
1,3,1,0,77
0,17,1,0,37
1,2,2,365,200
1,4,1,89,175
1,7,2,5,220
0,52,2,0,70
0,2,1,89,120
1,6,1,4,230
1,16,1,346,325
1,20,1,0,95
1,4,1,1,200
0,0,2,315,68
0,3,1,0,46
1,28,1,0,250
0,1,1,10,55
0,1,1,0,76
1,1,1,0,140
0,18,1,0,120
1,2,1,0,148
1,0,1,141,199
1,2,1,172,67
0,0,1,365,100
1,11,1,19,65
0,36,1,0,43
1,3,1,8,160
1,63,1,34,130
1,6,1,0,195
1,18,1,0,150
1,8,1,118,150
0,3,1,31,65
1,0,1,0,200
0,11,1,156,29
1,18,1,0,109
1,7,1,6,64
0,11,2,363,85
1,7,1,0,140
1,3,1,0,150
1,19,1,77,295
0,0,1,17,80
0,3,1,0,75
0,10,1,332,80
0,1,1,0,77
1,12,1,3,150
1,0,2,0,225
1,8,1,140,239
0,7,1,0,111
0,0,1,22,120
1,44,2,288,110
1,37,1,343,165
1,3,1,0,100
0,3,3,84,60
0,0,1,0,100
1,0,1,135,210
0,0,1,0,42
1,7,1,7,140
0,33,2,11,98
1,36,1,71,140
0,7,1,104,65
0,35,2,0,80
1,8,1,0,155
0,12,1,0,105
0,8,2,330,55
1,0,2,112,209
0,0,1,28,50
1,24,1,0,102
1,0,1,0,250
1,21,2,10,118
0,5,1,359,73
1,2,1,0,86
0,60,2,246,55
0,14,2,26,50
1,21,1,133,99
0,1,1,330,80
1,40,1,275,130
1,4,1,22,180
1,5,1,1,200
0,34,3,103,85
2,1,1,353,20
1,0,1,0,120
0,4,1,342,65
0,48,3,44,85
0,10,2,0,59
0,9,1,0,96
1,0,2,9,90
1,34,2,273,124
0,1,1,0,48
1,0,2,73,255
0,0,1,0,69
0,2,1,38,95
0,2,2,5,96
1,3,1,0,66
0,0,1,2,150
0,0,1,0,100
1,3,1,1,117
0,1,1,0,30
0,0,3,0,200
0,15,1,0,61
0,0,2,365,66
0,6,1,364,72
1,3,1,150,229
0,6,3,0,90
0,10,3,85,50
0,3,1,0,250
1,1,1,188,150
1,3,1,0,142
0,43,2,247,89
0,5,1,0,40
1,70,1,266,249
0,34,1,7,34
0,1,1,0,40
1,0,1,0,100
1,1,2,0,110
0,18,1,362,180
0,35,1,158,59
1,0,1,166,225
1,0,1,0,250
0,66,3,228,45
1,20,1,273,100
0,2,1,0,150
0,2,1,55,100
1,33,1,0,97
1,0,1,157,199
0,2,1,0,24
0,3,3,0,30
1,1,1,11,130
1,7,1,0,130
0,62,2,258,79
0,0,1,0,49
0,1,2,0,50
0,17,1,362,150
1,57,2,0,179
0,14,1,0,135
0,0,1,364,40
0,44,1,77,62
0,1,1,0,67
1,1,1,0,113
0,1,1,0,75
0,48,1,78,100
0,2,1,280,50
0,0,1,0,40
0,2,1,0,70
1,0,1,0,247
1,3,1,0,96
0,48,2,302,55
1,3,1,0,115
0,5,1,0,50
0,1,1,0,50
0,0,1,0,75
1,2,1,0,101
1,12,1,142,175
0,1,1,0,75
2,0,1,0,120
1,40,2,83,178
1,0,1,0,225
1,0,1,0,275
1,16,1,364,175
0,2,2,0,130
0,0,1,0,170
0,26,1,73,55
1,0,1,179,300
1,0,1,0,160
1,30,1,0,90
1,4,1,0,125
1,40,1,123,65
0,41,1,125,100
0,2,1,0,38
0,0,1,0,70
0,25,2,127,99
1,42,1,170,135
0,66,1,0,90
1,19,1,30,145
0,0,1,0,45
1,29,1,102,194
0,1,1,0,100
1,6,1,0,125
0,1,1,0,115
1,22,1,0,240
1,0,1,0,250
1,18,1,157,145
1,12,1,43,220
1,5,1,185,323
0,2,1,0,70
0,30,3,249,50
1,2,1,0,99
0,12,2,58,39
0,19,3,360,120
0,0,1,0,65
0,17,1,35,109
1,3,1,0,109
0,62,3,65,69
0,6,1,180,79
1,2,1,0,145
1,0,1,0,170
0,0,1,0,325
0,5,3,0,84
0,20,1,347,60
2,9,1,0,20
1,9,1,0,115
0,3,1,0,45
0,26,1,63,120
1,30,1,278,145
0,0,1,0,65
1,3,1,0,56
1,2,1,8,175
1,48,1,135,220
1,3,1,0,125
0,8,2,296,90
1,3,1,0,170
0,1,1,0,30
1,32,1,264,110
0,1,1,0,90
0,4,1,16,60
1,20,1,79,319
1,1,1,0,300
0,1,1,0,39
0,63,2,19,106
0,14,1,12,68
0,0,1,310,150
0,11,2,0,75
1,2,1,87,110
0,38,1,313,208
1,40,1,41,250
1,0,1,0,300
0,1,1,0,111
1,51,1,33,170
1,34,1,0,96
1,52,1,291,160
0,30,3,174,97
0,0,1,0,66
1,2,1,26,70
1,49,1,193,105
1,6,1,0,125
1,28,1,158,146
1,23,2,7,165
1,2,1,0,110
0,1,1,0,55
1,0,1,0,320
0,0,2,0,68
0,5,1,188,80
0,40,1,0,33
0,28,1,364,150
1,16,1,0,175
1,1,1,0,150
0,4,1,0,50
1,0,1,0,90
0,34,1,353,38
1,48,1,0,150
0,7,1,0,55
0,8,3,123,125
1,0,1,3,90
0,3,3,0,32
0,0,3,64,110
1,10,1,0,200
0,24,2,337,53
0,7,1,1,78
1,46,1,31,177
1,20,1,19,110
0,17,1,364,150
1,1,1,43,86
0,0,1,0,100
0,8,1,270,55
1,10,2,0,78
0,65,1,0,100
1,16,1,0,99
1,10,1,361,75
0,39,1,266,150
1,38,1,253,135
0,11,2,62,75
0,0,2,364,75
0,2,1,0,55
0,1,3,0,123
0,61,3,42,69
1,4,1,0,80
1,33,1,250,200
0,35,3,0,40
0,1,1,0,100
2,49,1,353,65
0,4,1,18,20
1,0,1,325,120
0,0,3,0,89
1,13,1,0,95
0,12,1,0,75
0,1,3,316,134
2,2,1,88,89
0,50,1,69,140
0,7,1,0,75
0,27,2,54,75
1,3,1,5,100
0,24,1,6,30
0,19,2,286,90
1,10,1,354,150
2,10,1,312,26
0,5,1,0,72
1,39,1,190,85
1,7,1,0,315
1,0,1,0,300
0,1,1,220,70
1,3,1,0,230
0,12,3,0,75
0,0,1,0,100
1,0,2,329,275
0,20,1,39,249
0,2,2,90,90
0,3,1,0,55
0,14,1,0,45
1,43,1,179,150
0,1,1,0,150
0,1,1,27,147
0,7,1,0,109
0,6,1,36,38
0,7,1,0,100
0,2,1,0,49
1,1,1,0,120
0,1,1,0,75
0,12,3,89,125
0,1,2,0,63
0,2,2,0,51
1,13,2,0,200
1,7,1,0,149
1,1,1,0,140
1,37,1,35,40
2,1,3,334,25
0,36,1,50,90
0,1,1,0,92
1,0,2,235,210
0,35,3,3,25
1,0,1,0,190
1,29,1,6,299
1,1,1,36,105
0,10,1,42,150
1,29,1,298,300
1,2,1,0,299
1,53,2,88,100
1,6,1,2,97
1,6,1,0,300
1,2,1,0,145
1,6,1,0,108
0,1,1,82,75
0,18,1,0,65
0,15,1,0,99
1,70,1,178,139
0,0,1,0,55
0,1,1,0,89
1,1,1,284,210
1,8,1,0,220
1,2,1,189,80
0,18,1,0,55
0,0,1,88,85
1,1,1,0,100
0,8,1,324,90
2,21,2,0,30
1,3,1,0,90
1,8,1,0,100
1,13,1,0,165
0,1,3,320,135
1,2,1,0,190
0,54,1,221,140
0,0,1,0,200
1,2,1,0,250
1,2,1,0,250
1,2,1,11,300
0,9,1,0,58
1,5,3,237,170
1,2,1,41,150
0,1,1,312,43
0,48,2,115,92
1,1,1,26,115
0,2,2,0,85
1,4,1,0,138
0,48,2,296,60
1,14,1,0,149
1,6,1,0,60
1,8,1,5,89
0,4,1,0,150
0,0,1,0,99
0,9,1,0,45
1,0,1,17,78
1,5,1,0,175
1,34,1,0,150
1,2,1,0,115
0,20,1,0,95
0,2,1,6,30
0,40,1,49,130
1,27,1,0,125
1,5,1,0,105
0,39,2,153,55
0,1,1,0,58
1,57,1,73,140
0,1,1,179,40
1,40,1,70,250
1,0,1,0,200
0,0,1,246,35
0,1,1,0,39
1,13,1,7,135
0,1,1,0,100
1,2,1,0,329
1,6,3,0,275
0,10,1,5,52
0,47,1,217,69
1,35,1,283,199
0,0,1,0,80
0,6,2,52,42
0,2,1,0,75
1,45,1,14,139
1,1,1,0,250
1,3,2,330,150
1,47,1,55,195
0,56,1,74,79
0,10,1,356,49
1,14,1,0,150
1,38,1,0,165
0,4,3,324,80
0,0,1,116,33
0,0,2,363,159
1,1,1,0,118
1,26,1,0,149
1,3,1,199,280
0,0,1,341,45
0,1,1,0,80
0,1,1,0,38
1,0,1,22,250
1,13,1,1,125
1,8,1,0,125
0,1,1,0,80
1,4,1,5,140
1,1,1,89,249
1,1,1,0,50
1,9,1,0,130
0,15,1,66,55
0,2,2,0,70
1,20,1,282,230
0,2,1,0,75
1,8,1,79,190
1,9,1,0,190
0,14,2,0,41
0,0,2,0,85
0,0,1,0,45
1,1,2,0,118
0,1,1,0,48
0,12,2,8,65
1,4,1,326,175
0,3,1,0,80
0,3,1,363,100
0,1,1,0,52
1,0,1,0,229
1,0,1,12,180
0,24,1,5,95
1,3,2,0,95
1,14,2,279,300
0,0,1,0,150
0,4,1,144,75
1,7,1,120,135
1,0,1,0,250
0,0,1,0,65
0,1,1,342,180
0,66,2,91,69
0,2,1,0,90
0,10,1,0,64
1,5,1,157,90
1,3,1,12,165
0,62,1,320,90
1,13,1,241,190
1,49,1,211,130
1,3,1,0,75
0,2,1,326,60
0,1,2,0,87
0,3,2,0,72
1,0,1,0,175
1,6,1,0,139
0,5,2,21,220
1,5,1,0,130
0,3,1,88,90
0,11,1,35,59
1,8,1,0,90
1,4,1,0,70
0,24,2,72,80
1,2,1,0,170
0,6,1,0,54
0,2,1,0,80
0,1,1,0,66
0,1,1,0,35
0,19,2,10,45
1,0,1,0,84
1,1,1,0,100
1,1,1,0,290
1,0,2,324,200
1,23,1,2,100
1,21,1,68,114
0,1,1,0,50
1,2,1,2,180
0,1,1,0,50
1,6,1,8,100
1,35,1,289,175
1,11,1,9,300
0,47,3,178,80
0,16,1,9,85
1,12,1,80,100
1,20,1,13,180
0,0,1,0,45
0,0,1,0,90
0,16,1,355,60
0,1,1,0,60
0,1,3,188,44
1,43,1,37,175
0,10,1,189,139
1,0,1,0,200
0,0,1,0,300
0,1,1,0,75
0,6,2,0,41
1,4,1,0,90
0,1,1,0,120
1,1,1,0,180
1,1,1,0,225
0,26,1,330,60
0,2,1,0,54
1,1,1,0,90
0,62,1,291,71
0,21,2,82,60
0,28,2,355,42
0,28,1,0,50
1,34,1,180,300
1,42,1,40,150
0,48,1,96,80
1,6,2,282,139
0,25,3,280,69
1,58,1,96,139
0,1,1,22,68
2,2,2,0,45
0,33,1,19,68
0,42,1,24,86
1,17,1,0,175
